id,product_name,product_price,quantity,product_photo
528,Bloom Good Luck Money Plant,154.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/b2429471-52af-41cc-8a66-0287e870a1ac.jpeg"
529,Ugaoo Aglaonema Pink Beauty Plant with Red Self Watering Pot | Decor & Gifting,329.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3569-3569,pr-true,f-auto,q-80/cms/product_variant/88ea1268-91c6-4fdc-a44f-6d04f962e6a0.jpeg"
530,Ugaoo Good Luck Money Plant Variegated with Self Watering Pot,235.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3685-3685,pr-true,f-auto,q-80/cms/product_variant/77925da4-f8ac-4d40-9c5e-c3e4a1824393.jpeg"
531,Bloom Auspicious Jade Plant,159.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/3f35af55-42f3-427b-95c3-4cfd6b5343ce.jpeg"
532,Ugaoo Tulsi Seeds (Holy Basil),99.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1100,pr-true,f-auto,q-80/cms/product_variant/77500e22-1ab2-4abd-abd8-ee37b9c5bb0e1SYH9z029H6lrcLIrItkThZecx0RNVi4O.jpeg"
533,Ugaoo Thyme Seeds,99.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/e17cc3b6-2afa-47c4-be04-d21586bba593.jpeg"
534,Ugaoo Okra Seeds (Lady Finger),99.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/3f5bb239-ece6-4e30-a6a3-fecf0598f93e.jpeg"
535,Ugaoo Capsicum Seeds,99.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/0f336a44-4b37-4493-9593-a3a358c2a305.jpeg"
536,Ugaoo Cherry Tomato Seeds,99.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/db7063e4-8e3c-488d-8d74-8600d8d9d041.jpeg"
537,Natures Plus Amaranthus - Seeds,49.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/ecc5e6f0-1768-4edd-a848-44af5263d078.jpeg"
538,Ugaoo Tomato Seeds,85.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/1836d247-bdc8-4ed5-bf23-ed81547585f6.jpeg"
539,Natures Plus Peas - Seeds,49.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/40729496-9f3b-4ed5-92da-8bf0b2d7a9eb.jpeg"
540,Natures Plus Cucumber Green - Seeds,49.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/d7c65cfc-50b1-4631-a230-d100190945da.jpeg"
541,Ugaoo Cow Dung Manure Fertilizers For Plants & Home Gardening(1kg) & Ugaoo Vermicompost For Plants - Organic Fertilizer & Manure(1kg) Combo,398.00,2 combo,"https://cdn.zeptonow.com/production/tr:w-640,ar-1494-1494,pr-true,f-auto,q-80/cms/product_variant/134420bf-1ff1-4ae4-820d-80b506fa3bc9.jpg"
542,Ugaoo Good Luck Money Plant Variegated with Self Watering Pot 1 pc Combo,452.00,1 pc X 2,"https://cdn.zeptonow.com/production/tr:w-640,ar-3685-3685,pr-true,f-auto,q-80/cms/product_variant/ea7c21d6-a7f4-4d1e-b6a4-9cd087b415dd.jpeg"
543,Ugaoo Vermicompost For Plants - Organic Fertilizer & Manure(1kg) & Ugaoo Cocopeat Block For Home Garden Plants(1kg) Combo,402.00,2 combo,"https://cdn.zeptonow.com/production/tr:w-640,ar-1494-1494,pr-true,f-auto,q-80/cms/product_variant/9ccae124-58d1-4bf5-aa4a-51871c1c47f2.jpg"
670,Toyshine Long-Range Foam Blaster Gun Toy with 10 Bullets | Safe & Multicolor Fun | Toy Gun,272.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/c03401be-ab39-44d8-928b-c300a2d86142.jpeg"
671,Mattel Hot Wheels 5-Car Pack - Collector\s Dream for Kids Ages 3+,706.00,1 set (5 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/17dfa979-2d63-45c1-9753-28822bd124d8.jpg"
672,Nerf Alpha Strike Wolf LR-1 - Action-Packed Dart Blaster | Toy Gun,857.00,1 set (13 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/387dcbc9-ccf2-4437-a1cc-a49c7cefdf2b.jpg"
673,Toyshine Airplane Launcher - Multi-Color Catapult Plane for Outdoor Play,484.00,1 set (5 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/ff039fb1-c225-4387-922a-22ae60715658.jpeg"
674,Lifelong Kick Scooter for Kids | Adjustable & Foldable (Ages 2-12),1139.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/e3a7bf65-955f-476f-a86c-ba1097c70ad4.jpg"
675,Nerf Elite 2.0 Volt SD-1 Blaster | Fun Dart Toy | Toy Gun,969.00,1 set (7 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/778947c5-8f47-4243-8143-e356259511eb.jpg"
676,Nerf Alpha Strike Fang QS-4 Blaster with 10 Elite Darts | Toy Gun,428.00,1 set (11 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/3163099b-ac8e-4485-9d7a-74f159a810d5.jpeg"
677,Toyshine Friction-Powered Multicolor Automobile for Kids,352.00,1 pack (7 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/c8e067b7-285b-4dda-bca8-979adc089b4e.jpeg"
678,Toyshine Wooden Magnetic Fishing Game | Engaging Toy for Kids - Multicolour,454.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/41d83d71-584c-4665-99ba-96f7c436e692.jpeg"
679,Wembley Magnetic Dart Board With Darts For Adult 40.3Cm Indoor & Outdoor Game For Kids With 8 Darts,693.00,1 set,"https://cdn.zeptonow.com/production/tr:w-640,ar-1100-1100,pr-true,f-auto,q-80/cms/product_variant/e721467c-9562-49f2-801b-849406547e07.jpg"
680,Hasbro Nerf Elite 2.0 Commander RD-6 - Ultimate Dart Blasting Adventure,1135.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/8352be3f-9e11-45fa-97d2-2f648f87532b.jpeg"
681,7 Diamonds Surprise Toy & Healthy Snacks Box,104.00,1 pack (150 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-2401-2401,pr-true,f-auto,q-80/cms/product_variant/c8e7a36f-9be2-4d74-9c9d-93ec7f39b9aa.jpeg"
682,Hasbro Nerf Alpha Strike Flyte Cs 10,2145.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/9b9cc32e-1552-4913-94ca-037642a3b95f.jpg"
683,Wembley Construction Tool Trolley Kit | Pretend Play Mechanics Set for Kids,1057.00,1 set,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/32d3035b-0b1e-43b7-84dd-609e6b940150.jpeg"
684,Toybharat Push N Go Transformer | Multicolour | Travel Toys | Birthday Gift | Assorted,106.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-6000-4000,pr-true,f-auto,q-80/cms/product_variant/90b199f6-f4d0-4583-aeb1-864a861649a3.jpg"
685,Toybharat Ambulance Toy for Kids | Ideal Travel Toy & Birthday Gift,256.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/82212591-b98c-49d7-8c1c-30b4deaed84c.jpeg"
686,Funskool Giggles Stack N Nest Toy Set - Perfect for Little Hands,428.00,1 set,"https://cdn.zeptonow.com/production/tr:w-640,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/5573822b-10fc-4b35-966f-da5ae970f3af.jpeg"
